INSERT INTO products VALUES(1, 'SQUfrevTEkycwdgqHu', 'False', 1.93, 'small');
INSERT INTO products VALUES(2, 'npyfw', 'True', 1.71, 'medium');
INSERT INTO products VALUES(3, 'ugcShbvePC', 'True', 9.23, 'large');
INSERT INTO products VALUES(4, 'kUG', 'True', 0.13, 'large');
INSERT INTO products VALUES(5, 'HmQWvyTAFugPzxJjdaNZqXMK', 'True', 4.52, 'flat envelope');
INSERT INTO products VALUES(6, 'ArS', 'True', 1.47, 'small');
INSERT INTO products VALUES(7, 'IrWm', 'False', 1.49, 'flat envelope');
INSERT INTO products VALUES(8, 'tadN', 'True', 5.41, 'small');
INSERT INTO products VALUES(9, 'BDFapWgVmjnbetrKRSMhGJsZfkTydH', 'False', 1.84, 'medium');
INSERT INTO products VALUES(10, 'PdfIzgxvCptNkqMSruXbnB', 'True', 2.4, 'small');
INSERT INTO products VALUES(11, 'QBTZjGybPFhaxYHVpvdzRC', 'True', 7.04, 'medium');
INSERT INTO products VALUES(12, 'GFQvuhzySAYmrIqPKxenX', 'False', 1.11, 'large');
INSERT INTO products VALUES(13, 'YuM', 'True', 5.71, 'large');
INSERT INTO products VALUES(14, 'BCcneGzUjmduaZbJQkxMWKEV', 'True', 0.67, 'medium');
INSERT INTO products VALUES(15, 'aSExznUYQFmCfGPtveuBZHMbDNVJg', 'False', 2.98, 'flat envelope');
INSERT INTO products VALUES(16, 'Jxumgn', 'True', 3.09, 'small');
INSERT INTO products VALUES(17, 'WDJSKnITNbEkUaQdgfYCVqZPmp', 'False', 5.97, 'medium');
INSERT INTO products VALUES(18, 'yKYqInvcaFzgp', 'True', 1.74, 'small');
INSERT INTO products VALUES(19, 'cvjITmQrDMydgAUph', 'False', 2.21, 'medium');
INSERT INTO products VALUES(20, 'DsVRtuqQxZndafHPMgwcpSI', 'False', 7.74, 'small');
INSERT INTO products VALUES(21, 'BMnfvChmrExDZcQzHFqkjVJegAI', 'True', 7.87, 'large');
INSERT INTO products VALUES(22, 'FqaWJQUgkG', 'True', 1.52, 'small');
INSERT INTO products VALUES(23, 'ryTPQfNIkxtSMUJWnepK', 'False', 8.97, 'small');
INSERT INTO products VALUES(24, 'PTRgeaIuApnHBSjhvNqZWUdCkFr', 'True', 4.78, 'large');
INSERT INTO products VALUES(25, 'JZFBGfseAjghUKHxWnuCkzca', 'True', 8.05, 'medium');
INSERT INTO products VALUES(26, 'MVzZwfb', 'False', 9.07, 'large');
INSERT INTO products VALUES(27, 'YWpPvAyH', 'True', 5.87, 'medium');
INSERT INTO products VALUES(28, 'MGxs', 'True', 0.62, 'flat envelope');
INSERT INTO products VALUES(29, 'UzDtpRNZWFCfkwEcsnyaAIj', 'True', 9.59, 'small');
INSERT INTO products VALUES(30, 'YkNRdXuJAztQMGncyhVBPSZKjH', 'True', 6.66, 'flat envelope');
INSERT INTO products VALUES(31, 'wVf', 'False', 6.63, 'small');
INSERT INTO products VALUES(32, 'nSEegQkWYqcPzdjMusxUHKbFCIafX', 'True', 6.53, 'medium');
INSERT INTO products VALUES(33, 'KPCQGcrgpIytnZWe', 'False', 3.17, 'small');
INSERT INTO products VALUES(34, 'fAkPqmQHnKhzwSrUubNxIVt', 'False', 3.7, 'small');
INSERT INTO products VALUES(35, 'JYtzhwWnagAHubxpmsCecvFDZMGNj', 'False', 7.56, 'small');
INSERT INTO products VALUES(36, 'TpqJxMbyPQkvDnmVgrsajuNHUGA', 'False', 4.65, 'medium');
INSERT INTO products VALUES(37, 'eThHSAXamPjDGunIRZFsqBzQypbE', 'True', 4.35, 'flat envelope');
INSERT INTO products VALUES(38, 'UStmEgIvVecbhwPWCyMJrBXYnsTd', 'True', 1.48, 'small');
INSERT INTO products VALUES(39, 'EXP', 'False', 1.24, 'large');
INSERT INTO products VALUES(40, 'ItSfuGWZbPpYrjaVeXvNTw', 'False', 8.48, 'large');
INSERT INTO products VALUES(41, 'AYdeHvuBfbDyRpaVr', 'True', 2.88, 'small');
INSERT INTO products VALUES(42, 'MPBwgsKrVSUHbeAERczxfmGnJktvdu', 'True', 0.51, 'small');
INSERT INTO products VALUES(43, 'cpErJZkVRNWygAaeH', 'False', 9.69, 'flat envelope');
INSERT INTO products VALUES(44, 'kacCKbPhtWMyDBedmznFITRqUVp', 'True', 1.04, 'flat envelope');
INSERT INTO products VALUES(45, 'uCVaecUSZzk', 'False', 8.93, 'small');
INSERT INTO products VALUES(46, 'qJKdVcvIWxRAfMyaNpCjsz', 'True', 4.92, 'large');
INSERT INTO products VALUES(47, 'DzKXYUnQbReBIcPghjTa', 'True', 0.31, 'flat envelope');
INSERT INTO products VALUES(48, 'DpdAWHSzxGPeINfFunZUBQavqw', 'True', 5.79, 'medium');
INSERT INTO products VALUES(49, 'mWz', 'False', 4.01, 'small');
INSERT INTO products VALUES(50, 'TxXNPMaShkmyFuCHjtRsJzAdIrqn', 'True', 5.81, 'large');
INSERT INTO products VALUES(51, 'vCjKRIJTyarsFfxtZNzGHXQn', 'False', 4.83, 'small');
